               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 132,            0.031896,           0.0082895,           0.0038592,             0.99623,                   1,               0.995,             0.74602,            0.019961,            0.003931,           0.0033691,           0.0074062,           0.0074062,           0.0074062
                 133,            0.029128,           0.0074434,           0.0037732,             0.99326,                   1,               0.995,             0.74779,            0.023821,           0.0041329,           0.0034804,           0.0073864,           0.0073864,           0.0073864
                 134,             0.03445,           0.0087787,           0.0042455,             0.99618,                   1,               0.995,             0.70139,              0.0201,           0.0039986,           0.0034366,           0.0073666,           0.0073666,           0.0073666
                 135,            0.026442,            0.009575,           0.0040824,             0.96413,                   1,             0.99115,             0.75777,            0.023109,           0.0039745,           0.0034427,           0.0073468,           0.0073468,           0.0073468
                 136,            0.033371,           0.0078268,           0.0035503,              0.9968,                   1,               0.995,             0.65447,            0.022274,           0.0039237,           0.0033768,            0.007327,            0.007327,            0.007327
                 137,            0.027444,           0.0085808,           0.0044111,             0.87726,                   1,             0.98192,             0.66911,            0.025771,           0.0042668,           0.0033892,           0.0073072,           0.0073072,           0.0073072
                 138,            0.032508,           0.0093431,           0.0039996,              0.9782,                   1,             0.99423,             0.72294,            0.020479,           0.0039581,           0.0034685,           0.0072874,           0.0072874,           0.0072874
                 139,            0.026217,            0.008968,           0.0039821,             0.91931,                0.96,             0.98769,             0.69485,            0.027281,           0.0043026,           0.0034649,           0.0072676,           0.0072676,           0.0072676
                 140,            0.032599,           0.0079081,           0.0039981,             0.98045,                0.98,             0.99352,             0.74778,             0.02106,           0.0040563,           0.0034385,           0.0072478,           0.0072478,           0.0072478
                 141,            0.029443,           0.0080366,           0.0037109,             0.99651,                   1,               0.995,             0.63507,            0.023492,           0.0041629,           0.0034337,            0.007228,            0.007228,            0.007228
                 142,            0.028914,           0.0062756,           0.0035903,             0.98952,             0.99818,               0.995,             0.69172,            0.026225,           0.0043607,           0.0033163,           0.0072082,           0.0072082,           0.0072082
                 143,            0.032975,           0.0095379,           0.0036862,             0.99654,                   1,               0.995,             0.74141,             0.02233,            0.004066,           0.0034277,           0.0071884,           0.0071884,           0.0071884
                 144,            0.027992,           0.0077774,           0.0037556,             0.99692,                   1,               0.995,             0.74344,            0.021169,           0.0040621,           0.0034354,           0.0071686,           0.0071686,           0.0071686
                 145,            0.029054,            0.010336,           0.0049512,             0.99638,                   1,               0.995,             0.70412,            0.021766,           0.0040876,           0.0034003,           0.0071488,           0.0071488,           0.0071488
                 146,            0.028903,           0.0067664,           0.0034899,             0.99558,                   1,               0.995,             0.78781,            0.023062,           0.0041318,            0.003287,            0.007129,            0.007129,            0.007129
                 147,            0.029821,            0.008554,            0.003619,             0.99602,                   1,               0.995,             0.78485,            0.019298,           0.0039553,           0.0033739,           0.0071092,           0.0071092,           0.0071092
                 148,            0.026973,           0.0083954,           0.0037575,             0.99593,                   1,               0.995,              0.7662,            0.025768,           0.0041487,           0.0032271,           0.0070894,           0.0070894,           0.0070894
                 149,            0.031971,           0.0095783,           0.0036636,             0.99664,                   1,               0.995,              0.7937,            0.020885,           0.0039869,           0.0033255,           0.0070696,           0.0070696,           0.0070696
                 150,            0.027004,           0.0070548,           0.0034438,             0.99707,                   1,               0.995,             0.73947,            0.020878,           0.0041119,           0.0032411,           0.0070498,           0.0070498,           0.0070498
                 151,            0.026611,            0.007741,            0.008961,             0.99683,                   1,               0.995,             0.82143,            0.020141,           0.0039446,           0.0031898,             0.00703,             0.00703,             0.00703
                 152,            0.028788,           0.0076866,           0.0038232,             0.99613,                   1,               0.995,             0.73879,            0.024084,           0.0041096,            0.003097,           0.0070102,           0.0070102,           0.0070102
